# These mappings were derived from the XCCStoUni binary file but they don't
# seem to correspond to any character set of XCCS-3-3-0.  They appeared after
# the verified JIS mappings (character sets 60 to 164 in XCCS-JIS.TXT)
# and were therefore assigned successor character set numbers and XCCS codes.
# But they may be totally incorrect.

#  "164" JIS
0x7421	0x7684	#  的
0x74D8	0x9032	#  進
0x74D9	0x624B	#  手
0x74DA	0x73FE	#  現
0x74DB	0x6700	#  最
0x74DC	0x7D66	#  給
0x74DD	0x5462	#  呢
0x74DE	0x807D	#  聽
0x74DF	0x5B98	#  官
0x74E0	0x5C71	#  山
0x74E1	0x7269	#  物
0x74E2	0x4ECA	#  今
0x74E3	0x5C07	#  將
0x74E4	0x592A	#  太
0x74E5	0x4E03	#  七
0x74E6	0x6C23	#  氣
0x74E7	0x5317	#  北
0x74E8	0x4F4D	#  位
0x74E9	0x653F	#  政
0x74EA	0x4F7F	#  使
0x74EB	0x771E	#  眞
0x74EC	0x7F8E	#  美
0x74ED	0x5BE6	#  實
0x74EE	0x53E3	#  口
0x74EF	0x7531	#  由
0x74F0	0x4E5D	#  九
0x74F1	0x6253	#  打
0x74F2	0x6B63	#  正
0x74F3	0x5357	#  南
0x74F4	0x90E8	#  部
0x74F5	0x8DEF	#  路
0x74F6	0x60C5	#  情
0x74F7	0x518D	#  再
0x74F8	0x65B0	#  新
0x74F9	0x5411	#  向
0x74FA	0x5176	#  其
0x74FB	0x9EDE	#  點
0x74FC	0x767E	#  百
0x74FD	0x9580	#  門
0x74FE	0x8072	#  聲

#  "165" JIS
0x7521	0x5B57	#  字
0x7522	0x600E	#  怎
0x7523	0x5FEB	#  快
0x7524	0x5E2B	#  師
0x7525	0x8655	#  處
0x7526	0x76F8	#  相
0x7527	0x6D3B	#  活
0x7528	0x89AA	#  親
0x7529	0x6D77	#  海
0x752A	0x96FB	#  電
0x752B	0x6BCD	#  母
0x752C	0x679C	#  果
0x752D	0x7ACB	#  立
0x752E	0x539F	#  原
0x752F	0x5408	#  合
0x7530	0x66F8	#  書
0x7531	0x5165	#  入
0x7532	0x4E26	#  並
0x7533	0x5E73	#  平
0x7534	0x696D	#  業
0x7535	0x5831	#  報
0x7536	0x8EAB	#  身
0x7537	0x5E02	#  市
0x7538	0x88AB	#  被
0x7539	0x8A31	#  許
0x753A	0x8ACB	#  請
0x753B	0x5C11	#  少
0x753C	0x9593	#  間
0x753D	0x9AD4	#  體
0x753E	0x4F4F	#  住
0x753F	0x8ECA	#  車
0x7540	0x8ECD	#  軍
0x7541	0x908A	#  邊
0x7542	0x91CD	#  重
0x7543	0x52A0	#  加
0x7544	0x5716	#  圖
0x7545	0x6216	#  或
0x7546	0x6B21	#  次
0x7547	0x6BCF	#  每
0x7548	0x7E3D	#  總
0x7549	0x706B	#  火
0x754A	0x6587	#  文
0x754B	0x5B69	#  孩
0x754C	0x4E16	#  世
0x754D	0x5B89	#  安
0x754E	0x653E	#  放
0x754F	0x6A5F	#  機
0x7550	0x5167	#  內
0x7551	0x95DC	#  關
0x7552	0x5229	#  利
0x7553	0x50CF	#  像
0x7554	0x7406	#  理
0x7555	0x6BD4	#  比
0x7556	0x611B	#  愛
0x7557	0x738B	#  王
0x7558	0x5225	#  別
0x7559	0x592B	#  夫
0x755A	0x8207	#  與
0x755B	0x5149	#  光
0x755C	0x82B1	#  花
0x755D	0x83EF	#  華
0x755E	0x8AB2	#  課
0x755F	0x80B2	#  育
0x7560	0x6545	#  故
0x7561	0x5FC5	#  必
0x7562	0x689D	#  條
0x7563	0x5ABD	#  媽
0x7564	0x5F1F	#  弟
0x7565	0x7236	#  父
0x7566	0x901A	#  通
0x7567	0x8868	#  表
0x7568	0x91D1	#  金
0x7569	0x5BEB	#  寫
0x756A	0x5DF1	#  己
0x756B	0x624D	#  才
0x756C	0x6CB3	#  河
0x756D	0x7701	#  省
0x756E	0x53F0	#  台
0x756F	0x6C42	#  求
0x7570	0x6536	#  收
0x7571	0x842C	#  萬
0x7572	0x4E14	#  且
0x7573	0x4F55	#  何
0x7574	0x4EE3	#  代
0x7575	0x5171	#  共
0x7576	0x53D7	#  受
0x7577	0x98A8	#  風
0x7578	0x6C5F	#  江
0x7579	0x62FF	#  拿
0x757A	0x96E3	#  難
0x757B	0x754C	#  界
0x757C	0x4FE1	#  信
0x757D	0x671B	#  望
0x757E	0x7A7A	#  空
0x75A1	0x6B7B	#  死
0x75A2	0x73ED	#  班
0x75A3	0x99AC	#  馬
0x75A4	0x671F	#  期
0x75A5	0x975E	#  非
0x75A6	0x6A39	#  樹
0x75A7	0x53CA	#  及
0x75A8	0x7D50	#  結
0x75A9	0x865F	#  號
0x75AA	0x5E36	#  帶
0x75AB	0x5143	#  元
0x75AC	0x4EA4	#  交
0x75AD	0x8A72	#  該
0x75AE	0x672A	#  未
0x75AF	0x7FA9	#  義
0x75B0	0x5E9C	#  府
0x75B1	0x5B8C	#  完
0x75B2	0x8AD6	#  論
0x75B3	0x9322	#  錢
0x75B4	0x98DB	#  飛
0x75B5	0x547D	#  命
0x75B6	0x5F35	#  張
0x75B7	0x54E1	#  員
0x75B8	0x6578	#  數
0x75B9	0x6797	#  林
0x75BA	0x63A5	#  接
0x75BB	0x5C40	#  局
0x75BC	0x53CB	#  友
0x75BD	0x559C	#  喜
0x75BE	0x6E05	#  清
0x75BF	0x6D0B	#  洋
0x75C0	0x6A02	#  樂
0x75C1	0x5A5A	#  婚
0x75C2	0x793E	#  社
0x75C3	0x65E9	#  早
0x75C4	0x5E03	#  布
0x75C5	0x6975	#  極
0x75C6	0x773C	#  眼
0x75C7	0x55CE	#  嗎
0x75C8	0x7522	#  產
0x75C9	0x544A	#  告
0x75CA	0x54E5	#  哥
0x75CB	0x8208	#  興
0x75CC	0x52DE	#  勞
0x75CD	0x9435	#  鐵
0x75CE	0x53D6	#  取
0x75CF	0x7B97	#  算
0x75D0	0x66F4	#  更
0x75D1	0x5175	#  兵
0x75D2	0x9020	#  造
0x75D3	0x7B54	#  答
0x75D4	0x627E	#  找
0x75D5	0x7F77	#  罷
0x75D6	0x5931	#  失
0x75D7	0x904B	#  運
0x75D8	0x5F62	#  形
0x75D9	0x6613	#  易
0x75DA	0x7FA3	#  羣
0x75DB	0x5EA6	#  度
0x75DC	0x534A	#  半
0x75DD	0x8863	#  衣
0x75DE	0x82E5	#  若
0x75DF	0x81F3	#  至
0x75E0	0x8B70	#  議
0x75E1	0x8FD1	#  近
0x75E2	0x7167	#  照
0x75E3	0x8B8A	#  變
0x75E4	0x59D0	#  姐
0x75E5	0x670D	#  服
0x75E6	0x5247	#  則
0x75E7	0x985E	#  類
0x75E8	0x82F1	#  英
0x75E9	0x7403	#  球
0x75EA	0x5343	#  千
0x75EB	0x5F80	#  往
0x75EC	0x8B1B	#  講
0x75ED	0x8A08	#  計
0x75EE	0x6230	#  戰
0x75EF	0x6728	#  木
0x75F0	0x7B11	#  笑
0x75F1	0x529F	#  功
0x75F2	0x8209	#  舉
0x75F3	0x8DDF	#  跟
0x75F4	0x795E	#  神
0x75F5	0x6C7A	#  決
0x75F6	0x6D41	#  流
0x75F7	0x71B1	#  熱
0x75F8	0x541B	#  君
0x75F9	0x7A76	#  究
0x75FA	0x7D04	#  約
0x75FB	0x96BB	#  隻
0x75FC	0x76F4	#  直
0x75FD	0x53E4	#  古
0x75FE	0x9EC3	#  黃

#  "166" JIS
0x7621	0x661F	#  星
0x7622	0x984C	#  題
0x7623	0x4FDD	#  保
0x7624	0x5012	#  倒
0x7625	0x7AE5	#  童
0x7626	0x9060	#  遠
0x7627	0x5316	#  化
0x7628	0x76EE	#  目
0x7629	0x5750	#  坐
0x762A	0x623F	#  房
0x762B	0x5F3A	#  强
0x762C	0x8B80	#  讀
0x762D	0x9001	#  送
0x762E	0x672B	#  末
0x762F	0x665A	#  晚
0x7630	0x98DF	#  食
0x7631	0x96D6	#  雖
0x7632	0x97F3	#  音
0x7633	0x6EFF	#  滿
0x7634	0x8FA6	#  辦
0x7635	0x6027	#  性
0x7636	0x6B61	#  歡
0x7637	0x75C5	#  病
0x7638	0x9054	#  達
0x7639	0x5BB3	#  害
0x763A	0x8CB7	#  買
0x763B	0x9280	#  銀
0x763C	0x52D9	#  務
0x763D	0x5920	#  夠
0x763E	0x4EFB	#  任
0x763F	0x9023	#  連
0x7640	0x5546	#  商
0x7641	0x7279	#  特
0x7642	0x82E6	#  苦
0x7643	0x5FB7	#  德
0x7644	0x9662	#  院
0x7645	0x6B0A	#  權
0x7646	0x6B65	#  步
0x7647	0x5440	#  呀
0x7648	0x6015	#  怕
0x7649	0x77F3	#  石
0x764A	0x8272	#  色
0x764B	0x5EFA	#  建
0x764C	0x6B3E	#  款
0x764D	0x5A66	#  婦
0x764E	0x8A2D	#  設
0x764F	0x7238	#  爸
0x7650	0x5DF4	#  巴
0x7651	0x571F	#  土
0x7652	0x8A18	#  記
0x7653	0x5E0C	#  希
0x7654	0x58EB	#  士
0x7655	0x50B3	#  傳
0x7656	0x7FD2	#  習
0x7657	0x5236	#  制
0x7658	0x63D0	#  提
0x7659	0x7BC0	#  節
0x765A	0x5BB9	#  容
0x765B	0x5FF5	#  念
0x765C	0x6307	#  指
0x765D	0x7814	#  研
0x765E	0x6CBB	#  治
0x765F	0x89E3	#  解
0x7660	0x8239	#  船
0x7661	0x904A	#  遊
0x7662	0x5099	#  備
0x7663	0x89C0	#  觀
0x7664	0x52DD	#  勝
0x7665	0x6539	#  改
0x7666	0x9664	#  除
0x7667	0x967D	#  陽
0x7668	0x53CD	#  反
0x7669	0x7D71	#  統
0x766A	0x9B5A	#  魚
0x766B	0x5B83	#  它
0x766C	0x5E1D	#  帝
0x766D	0x8A9E	#  語
0x766E	0x7530	#  田
0x766F	0x52A9	#  助
0x7670	0x6CE8	#  注
0x7671	0x5348	#  午
0x7672	0x8A00	#  言
0x7673	0x5EE2	#  廢
0x7674	0x54C1	#  品
0x7675	0x6599	#  料
0x7676	0x5834	#  場
0x7677	0x5FD9	#  忙
0x7678	0x8DD1	#  跑
0x7679	0x66FE	#  曾
0x767A	0x52E2	#  勢
0x767B	0x73A9	#  玩
0x767C	0x8B58	#  識
0x767D	0x6D88	#  消
0x767E	0x5C4B	#  屋
0x76A1	0x601D	#  思
0x76A2	0x8DB3	#  足
0x76A3	0x9808	#  須
0x76A4	0x656C	#  敬
0x76A5	0x7CBE	#  精
0x76A6	0x7E23	#  縣
0x76A7	0x59B9	#  妹
0x76A8	0x5979	#  她
0x76A9	0x8CBB	#  費
0x76AA	0x57CE	#  城
0x76AB	0x5668	#  器
0x76AC	0x96E2	#  離
0x76AD	0x9858	#  願
0x76AE	0x76AE	#  皮
0x76AF	0x6551	#  救
0x76B0	0x98EF	#  飯
0x76B1	0x9ED1	#  黑
0x76B2	0x8FB2	#  農
0x76B3	0x5EE3	#  廣
0x76B4	0x7D1A	#  級
0x76B5	0x7A31	#  稱
0x76B6	0x7BA1	#  管
0x76B7	0x50F9	#  價
0x76B8	0x523B	#  刻
0x76B9	0x7D44	#  組
0x76BA	0x4E45	#  久
0x76BB	0x7D30	#  細
0x76BC	0x826F	#  良
0x76BD	0x9752	#  青
0x76BE	0x9078	#  選
0x76BF	0x6F38	#  漸
0x76C0	0x5F04	#  弄
0x76C1	0x53C3	#  參
0x76C2	0x6562	#  敢
0x76C3	0x5370	#  印
0x76C4	0x6B78	#  歸
0x76C5	0x5207	#  切
0x76C6	0x8077	#  職
0x76C7	0x88DD	#  裝
0x76C8	0x756B	#  畫
0x76C9	0x5C08	#  專
0x76CA	0x7D05	#  紅
0x76CB	0x96E8	#  雨
0x76CC	0x5373	#  即
0x76CD	0x8A8D	#  認
0x76CE	0x6FDF	#  濟
0x76CF	0x7247	#  片
0x76D0	0x990A	#  養
0x76D1	0x91CF	#  量
0x76D2	0x7DDA	#  線
0x76D3	0x5FFD	#  忽
0x76D4	0x822C	#  般
0x76D5	0x5305	#  包
0x76D6	0x4EF6	#  件
0x76D7	0x8349	#  草
0x76D8	0x6F22	#  漢
0x76D9	0x723E	#  爾
0x76DA	0x904D	#  遍
0x76DB	0x6232	#  戲
0x76DC	0x8AF8	#  諸
0x76DD	0x8AB0	#  誰
0x76DE	0x7ADF	#  竟
0x76DF	0x65E2	#  既
0x76E0	0x9109	#  鄉
0x76E1	0x80AF	#  肯
0x76E2	0x6839	#  根
0x76E3	0x514D	#  免
0x76E4	0x722D	#  爭
0x76E5	0x5468	#  周
0x76E6	0x5566	#  啦
0x76E7	0x55AE	#  單
0x76E8	0x7A7F	#  穿
0x76E9	0x584A	#  塊
0x76EA	0x521D	#  初
0x76EB	0x91CC	#  里
0x76EC	0x76E1	#  盡
0x76ED	0x8846	#  衆
0x76EE	0x6BDB	#  毛
0x76EF	0x6B72	#  歲
0x76F0	0x8089	#  肉
0x76F1	0x9F4A	#  齊
0x76F2	0x96C6	#  集
0x76F3	0x5DDE	#  州
0x76F4	0x843D	#  落
0x76F5	0x6025	#  急
0x76F6	0x5047	#  假
0x76F7	0x63A8	#  推
0x76F8	0x7968	#  票
0x76F9	0x7834	#  破
0x76FA	0x7537	#  男
0x76FB	0x5531	#  唱
0x76FC	0x5553	#  啓
0x76FD	0x611F	#  感
0x76FE	0x554A	#  啊

#  "167" JIS
0x7721	0x4F3C	#  似
0x7722	0x79D1	#  科
0x7723	0x79AE	#  禮
0x7724	0x798F	#  福
0x7725	0x9632	#  防
0x7726	0x6BBA	#  殺
0x7727	0x8AC7	#  談
0x7728	0x4EE4	#  令
0x7729	0x8CC7	#  資
0x772A	0x64DA	#  據
0x772B	0x4FC4	#  俄
0x772C	0x7559	#  留
0x772D	0x811A	#  脚
0x772E	0x5CF6	#  島
0x772F	0x5718	#  團
0x7730	0x8CE3	#  賣
0x7731	0x5FD7	#  志
0x7732	0x62C9	#  拉
0x7733	0x6B66	#  武
0x7734	0x602A	#  怪
0x7735	0x4ED8	#  付
0x7736	0x4FC2	#  係
0x7737	0x725B	#  牛
0x7738	0x606F	#  息
0x7739	0x50B7	#  傷
0x773A	0x5BA2	#  客
0x773B	0x8A0E	#  討
0x773C	0x96A8	#  隨
0x773D	0x8336	#  茶
0x773E	0x501F	#  借
0x773F	0x885B	#  衛
0x7740	0x591C	#  夜
0x7741	0x7063	#  灣
0x7742	0x806F	#  聯
0x7743	0x4E9E	#  亞
0x7744	0x8D95	#  趕
0x7745	0x5C45	#  居
0x7746	0x9152	#  酒
0x7747	0x968A	#  隊
0x7748	0x9047	#  遇
0x7749	0x5BCC	#  富
0x774A	0x8B93	#  讓
0x774B	0x5BDF	#  察
0x774C	0x5947	#  奇
0x774D	0x65AF	#  斯
0x774E	0x7D00	#  紀
0x774F	0x683C	#  格
0x7750	0x6DF1	#  深
0x7751	0x9918	#  餘
0x7752	0x8FEB	#  迫
0x7753	0x7DCA	#  緊
0x7754	0x7E54	#  織
0x7755	0x9CE5	#  鳥
0x7756	0x6625	#  春
0x7757	0x4E7E	#  乾
0x7758	0x7B46	#  筆
0x7759	0x66FF	#  替
0x775A	0x5F71	#  影
0x775B	0x7C73	#  米
0x775C	0x4E82	#  亂
0x775D	0x51B7	#  冷
0x775E	0x59CB	#  始
0x775F	0x8607	#  蘇
0x7760	0x6050	#  恐
0x7761	0x6CB9	#  油
0x7762	0x65C1	#  旁
0x7763	0x820A	#  舊
0x7764	0x5B97	#  宗
0x7765	0x54ED	#  哭
0x7766	0x963F	#  阿
0x7767	0x88FD	#  製
0x7768	0x71C8	#  燈
0x7769	0x6B4C	#  歌
0x776A	0x7761	#  睡
0x776B	0x5712	#  園
0x776C	0x9DC4	#  鷄
0x776D	0x5F85	#  待
0x776E	0x5C0E	#  導
0x776F	0x537B	#  卻
0x7770	0x9F20	#  鼠
0x7771	0x9805	#  項
0x7772	0x53E5	#  句
0x7773	0x5200	#  刀
0x7774	0x5340	#  區
0x7775	0x8A34	#  訴
0x7776	0x4EA6	#  亦
0x7777	0x8003	#  考
0x7778	0x589E	#  增
0x7779	0x9678	#  陸
0x777A	0x5E6B	#  幫
0x777B	0x8F15	#  輕
0x777C	0x6628	#  昨
0x777D	0x5E8F	#  序
0x777E	0x7DE8	#  編
0x77A1	0x9810	#  預
0x77A2	0x4EAC	#  京
0x77A3	0x590F	#  夏
0x77A4	0x96F2	#  雲
0x77A5	0x5177	#  具
0x77A6	0x8D8A	#  越
0x77A7	0x5BA4	#  室
0x77A8	0x54C8	#  哈
0x77A9	0x8CEA	#  質
0x77AA	0x7D19	#  紙
0x77AB	0x9418	#  鐘
0x77AC	0x4EAE	#  亮
0x77AD	0x907A	#  遺
0x77AE	0x60E1	#  惡
0x77AF	0x674E	#  李
0x77B0	0x805E	#  聞
0x77B1	0x6557	#  敗
0x77B2	0x4ECD	#  仍
0x77B3	0x8CA1	#  財
0x77B4	0x6D32	#  洲
0x77B5	0x8ABF	#  調
0x77B6	0x91AB	#  醫
0x77B7	0x8CA8	#  貨
0x77B8	0x570D	#  圍
0x77B9	0x72D7	#  狗
0x77BA	0x898F	#  規
0x77BB	0x58DE	#  壞
0x77BC	0x6389	#  掉
0x77BD	0x547C	#  呼
0x77BE	0x7A0B	#  程
0x77BF	0x5B6B	#  孫
0x77C0	0x5144	#  兄
0x77C1	0x6697	#  暗
0x77C2	0x793A	#  示
0x77C3	0x532A	#  匪
0x77C4	0x8F03	#  較
0x77C5	0x53F8	#  司
0x77C6	0x932F	#  錯
0x77C7	0x8A66	#  試
0x77C8	0x9673	#  陳
0x77C9	0x5DEE	#  差
0x77CA	0x6295	#  投
0x77CB	0x75DB	#  痛
0x77CC	0x7E94	#  纔
0x77CD	0x5BF6	#  寶
0x77CE	0x6C7D	#  汽
0x77CF	0x81F4	#  致
0x77D0	0x89D2	#  角
0x77D1	0x7D42	#  終
0x77D2	0x8449	#  葉
0x77D3	0x6D3E	#  派
0x77D4	0x8DF3	#  跳
0x77D5	0x505C	#  停
0x77D6	0x71D2	#  燒
0x77D7	0x6B62	#  止
0x77D8	0x6E2F	#  港
0x77D9	0x5584	#  善
0x77DA	0x5F15	#  引
0x77DB	0x627F	#  承
0x77DC	0x670B	#  朋
0x77DD	0x8F2A	#  輪
0x77DE	0x7AD9	#  站
0x77DF	0x6162	#  慢
0x77E0	0x7368	#  獨
0x77E1	0x7D72	#  絲
0x77E2	0x65B7	#  斷
0x77E3	0x5E78	#  幸
0x77E4	0x6301	#  持
0x77E5	0x8B77	#  護
0x77E6	0x91CE	#  野
0x77E7	0x5E97	#  店
0x77E8	0x5FA9	#  復
0x77E9	0x5C24	#  尤
0x77EA	0x655D	#  敝
0x77EB	0x9769	#  革
0x77EC	0x67E5	#  查
0x77ED	0x8B1D	#  謝
0x77EE	0x76DB	#  盛
0x77EF	0x8853	#  術
0x77F0	0x9996	#  首
0x77F1	0x7562	#  畢
0x77F2	0x85CF	#  藏
0x77F3	0x7DF4	#  練
0x77F4	0x4F4E	#  低
0x77F5	0x4E43	#  乃
0x77F6	0x96D9	#  雙
0x77F7	0x9760	#  靠
0x77F8	0x4FEE	#  修
0x77F9	0x6751	#  村
0x77FA	0x52AA	#  努
0x77FB	0x4F9D	#  依
0x77FC	0x4E4E	#  乎
0x77FD	0x5EAD	#  庭
0x77FE	0x83DC	#  菜

#  "170" JIS
0x7821	0x89BA	#  覺
0x7822	0x7AEF	#  端
0x7823	0x7956	#  祖
0x7824	0x5427	#  吧
0x7825	0x71DF	#  營
0x7826	0x65CF	#  族
0x7827	0x6D17	#  洗
0x7828	0x8CB4	#  貴
0x7829	0x6EAB	#  溫
0x782A	0x862D	#  蘭
0x782B	0x8FA8	#  辨
0x782C	0x8CAC	#  責
0x782D	0x6E96	#  準
0x782E	0x6848	#  案
0x782F	0x87F2	#  蟲
0x7830	0x8996	#  視
0x7831	0x7F8A	#  羊
0x7832	0x7E8C	#  續
0x7833	0x63DB	#  換
0x7834	0x6574	#  整
0x7835	0x6E56	#  湖
0x7836	0x9644	#  附
0x7837	0x5F0F	#  式
0x7838	0x62B5	#  抵
0x7839	0x6B77	#  歷
0x783A	0x5C04	#  射
0x783B	0x5DE6	#  左
0x783C	0x72C0	#  狀
0x783D	0x7F85	#  羅
0x783E	0x81C9	#  臉
0x783F	0x67D0	#  某
0x7840	0x6C0F	#  氏
0x7841	0x9E97	#  麗
0x7842	0x62DC	#  拜
0x7843	0x57FA	#  基
0x7844	0x80CC	#  背
0x7845	0x7D55	#  絕
0x7846	0x5A18	#  娘
0x7847	0x9B27	#  鬧
0x7848	0x514B	#  克
0x7849	0x4E58	#  乘
0x784A	0x6F14	#  演
0x784B	0x5C6C	#  屬
0x784C	0x5C55	#  展
0x784D	0x9000	#  退
0x784E	0x6A4B	#  橋
0x784F	0x97FF	#  響
0x7850	0x8070	#  聰
0x7851	0x9928	#  館
0x7852	0x9003	#  逃
0x7853	0x666F	#  景
0x7854	0x9A5A	#  驚
0x7855	0x969B	#  際
0x7856	0x4F9B	#  供
0x7857	0x8005	#  者
0x7858	0x6297	#  抗
0x7859	0x8C93	#  貓
0x785A	0x8CFD	#  賽
0x785B	0x5B88	#  守
0x785C	0x775B	#  睛
0x785D	0x5145	#  充
0x785E	0x8499	#  蒙
0x785F	0x9999	#  香
0x7860	0x8B49	#  證
0x7861	0x58D3	#  壓
0x7862	0x59D4	#  委
0x7863	0x9EE8	#  黨
0x7864	0x7565	#  略
0x7865	0x525B	#  剛
0x7866	0x51E1	#  凡
0x7867	0x5C1A	#  尚
0x7868	0x5BC6	#  密
0x7869	0x93E1	#  鏡
0x786A	0x6C89	#  沉
0x786B	0x5473	#  味
0x786C	0x6D1E	#  洞
0x786D	0x7389	#  玉
0x786E	0x5802	#  堂
0x786F	0x5EA7	#  座
0x7870	0x64D4	#  擔
0x7871	0x8857	#  街
0x7872	0x5F8B	#  律
0x7873	0x9A57	#  驗
0x7874	0x53E6	#  另
0x7875	0x8033	#  耳
0x7876	0x66C9	#  曉
0x7877	0x6C38	#  永
0x7878	0x6383	#  掃
0x7879	0x5FAE	#  微
0x787A	0x7F6E	#  置
0x787B	0x6563	#  散
0x787C	0x77ED	#  短
0x787D	0x9802	#  頂
0x787E	0x9F8D	#  龍
0x78A1	0x5CB8	#  岸
0x78A2	0x7E7C	#  繼
0x78A3	0x5634	#  嘴
0x78A4	0x9650	#  限
0x78A5	0x6668	#  晨
0x78A6	0x5217	#  列
0x78A7	0x7532	#  甲
0x78A8	0x7AF9	#  竹
0x78A9	0x96AA	#  險
0x78AA	0x8C61	#  象
0x78AB	0x975C	#  靜
0x78AC	0x5438	#  吸
0x78AD	0x9818	#  領
0x78AE	0x4EFD	#  份
0x78AF	0x5065	#  健
0x78B0	0x56FA	#  固
0x78B1	0x5371	#  危
0x78B2	0x9E7D	#  鹽
0x78B3	0x8FCE	#  迎
0x78B4	0x6392	#  排
0x78B5	0x50BE	#  傾
0x78B6	0x7C21	#  簡
0x78B7	0x6B50	#  歐
0x78B8	0x6C99	#  沙
0x78B9	0x9285	#  銅
0x78BA	0x6EC5	#  滅
0x78BB	0x65D7	#  旗
