CODEPAGE 932            ; Japanese - ANSI, OEM
0x45	0x0045	;E
0x46	0x0046	;F
0x47	0x0047	;G
0x48	0x0048	;H
0x49	0x0049	;I
0x4a	0x004a	;J
0x4b	0x004b	;K
0x4c	0x004c	;L
0x4d	0x004d	;M
0x4e	0x004e	;N
0x4f	0x004f	;O
0x50	0x0050	;P
0x51	0x0051	;Q
0x52	0x0052	;R
0x53	0x0053	;S
0x54	0x0054	;T
0x55	0x0055	;U
0x56	0x0056	;V
0x57	0x0057	;W
0x58	0x0058	;X
0x59	0x0059	;Y
0x5a	0x005a	;Z
0x5b	0x005b	;[
0x5c	0x005c	;\ Yen Sign
0x5d	0x005d	;]
0x5e	0x005e	;^
0x5f	0x005f	;_
0x60	0x0060	;`
0x61	0x0061	;a
0x62	0x0062	;b
0x63	0x0063	;c
0x64	0x0064	;d
0x65	0x0065	;e
0x66	0x0066	;f
0x67	0x0067	;g
0x68	0x0068	;h
0x69	0x0069	;i
0x6a	0x006a	;j
0x6b	0x006b	;k
0x6c	0x006c	;l
0x6d	0x006d	;m
0x6e	0x006e	;n
0x6f	0x006f	;o
0x70	0x0070	;p
0x71	0x0071	;q
0x72	0x0072	;r
0x73	0x0073	;s
0x74	0x0074	;t
0x75	0x0075	;u
0x76	0x0076	;v
0x77	0x0077	;w
0x78	0x0078	;x
0x79	0x0079	;y
0x7a	0x007a	;z
0x7b	0x007b	;{
0x7c	0x007c	;|
0x7d	0x007d	;}
0x7e	0x007e	;~
0x7f	0x007f	;Delete
0x80	0x0080  ;Control
0xa0	0xf8f0	;Undefined -> EUDC
0xa1	0xff61	;° Halfwidth Ideographic Period
0xa2	0xff62	;¢ Halfwidth Opening Corner Bracket
0xa3	0xff63	;£ Halfwidth Closing Corner Bracket
0xa4	0xff64	;§ Halfwidth Ideographic Comma
0xa5	0xff65	;• Halfwidth Katakana Middle Dot
0xa6	0xff66	;¶ Halfwidth Katakana Wo
0xa7	0xff67	;ß Halfwidth Katakana Small A
0xa8	0xff68	;® Halfwidth Katakana Small I
0xa9	0xff69	;© Halfwidth Katakana Small U
0xaa	0xff6a	;™ Halfwidth Katakana Small E
0xab	0xff6b	;´ Halfwidth Katakana Small O
0xac	0xff6c	;¨ Halfwidth Katakana Small Ya
0xad	0xff6d	;≠ Halfwidth Katakana Small Yu
0xae	0xff6e	;Æ Halfwidth Katakana Small Yo
0xaf	0xff6f	;Ø Halfwidth Katakana Small Tu
0xb0	0xff70	;∞ Halfwidth Katakana-Hiragana Prolonged Sound Mark
0xb1	0xff71	;± Halfwidth Katakana A
0xb2	0xff72	;≤ Halfwidth Katakana I
0xb3	0xff73	;≥ Halfwidth Katakana U
0xb4	0xff74	;¥ Halfwidth Katakana E
0xb5	0xff75	;µ Halfwidth Katakana O
0xb6	0xff76	;∂ Halfwidth Katakana Ka
0xb7	0xff77	;∑ Halfwidth Katakana Ki
0xb8	0xff78	;∏ Halfwidth Katakana Ku
0xb9	0xff79	;π Halfwidth Katakana Ke
0xba	0xff7a	;∫ Halfwidth Katakana Ko
0xbb	0xff7b	;ª Halfwidth Katakana Sa
0xbc	0xff7c	;º Halfwidth Katakana Si
0xbd	0xff7d	;Ω Halfwidth Katakana Su
0xbe	0xff7e	;æ Halfwidth Katakana Se
0xbf	0xff7f	;ø Halfwidth Katakana So
0xc0	0xff80	;¿ Halfwidth Katakana Ta
0xc1	0xff81	;¡ Halfwidth Katakana Ti
0xc2	0xff82	;¬ Halfwidth Katakana Tu
0xc3	0xff83	;√ Halfwidth Katakana Te
0xc4	0xff84	;ƒ Halfwidth Katakana To
0xc5	0xff85	;≈ Halfwidth Katakana Na
0xc6	0xff86	;∆ Halfwidth Katakana Ni
0xc7	0xff87	;« Halfwidth Katakana Nu
0xc8	0xff88	;» Halfwidth Katakana Ne
0xc9	0xff89	;… Halfwidth Katakana No
0xca	0xff8a	;  Halfwidth Katakana Ha
0xcb	0xff8b	;À Halfwidth Katakana Hi
0xcc	0xff8c	;Ã Halfwidth Katakana Hu
0xcd	0xff8d	;Õ Halfwidth Katakana He
0xce	0xff8e	;Œ Halfwidth Katakana Ho
0xcf	0xff8f	;œ Halfwidth Katakana Ma
0xd0	0xff90	;– Halfwidth Katakana Mi
0xd1	0xff91	;— Halfwidth Katakana Mu
0xd2	0xff92	;“ Halfwidth Katakana Me
0xd3	0xff93	;” Halfwidth Katakana Mo
0xd4	0xff94	;‘ Halfwidth Katakana Ya
0xd5	0xff95	;’ Halfwidth Katakana Yu
0xd6	0xff96	;÷ Halfwidth Katakana Yo
0xd7	0xff97	;◊ Halfwidth Katakana Ra
0xd8	0xff98	;ÿ Halfwidth Katakana Ri
0xd9	0xff99	;Ÿ Halfwidth Katakana Ru
0xda	0xff9a	;⁄ Halfwidth Katakana Re
0xdb	0xff9b	;€ Halfwidth Katakana Ro
0xdc	0xff9c	;‹ Halfwidth Katakana Wa
0xdd	0xff9d	;› Halfwidth Katakana N
0xde	0xff9e	;ﬁ Halfwidth Katakana Voiced Sound Mark
0xdf	0xff9f	;ﬂ Halfwidth Katakana Semi-Voiced Sound Mark
0xfd	0xf8f1	;Undefined -> EUDC
0xfe	0xf8f2	;Undefined -> EUDC
0xff	0xf8f3	;Undefined -> EUDC


DBCSRANGE  2            ;2 DBCS Lead Byte Ranges: 0x81-0x9f and 0xe0-0xfc

0x81  0x9f              ;Lead Byte Range


DBCSTABLE 147           ;LeadByte = 0x81

0x40	0x3000	;Å@ Ideographic Space
0x41	0x3001	;ÅA Ideographic Comma
0x42	0x3002	;ÅB Ideographic Period
0x43	0xff0c	;ÅC Fullwidth ,
0x44	0xff0e	;ÅD Fullwidth .
0x45	0x30fb	;ÅE Katakana Middle Dot
0x46	0xff1a	;ÅF Fullwidth :
0x47	0xff1b	;ÅG Fullwidth ;
0x48	0xff1f	;ÅH Fullwidth ?
0x49	0xff01	;ÅI Fullwidth !
0x4a	0x309b	;ÅJ Katakana-Hiragana Voiced Sound Mark
0x4b	0x309c	;ÅK Katakana-Hiragana Semi-Voiced Sound Mark
0x4c	0x00b4	;ÅL Spacing Acute
0x4d	0xff40	;ÅM Fullwidth `
0x4e	0x00a8	;ÅN Spacing Diaeresis
0x4f	0xff3e	;ÅO Fullwidth ^
0x50	0xffe3	;ÅP Fullwidth Spacing Macron
0x51	0xff3f	;ÅQ Fullwidth _
0x52	0x30fd	;ÅR Katakana Iteration Mark
0x53	0x30fe	;ÅS Katakana Voiced Iteration Mark
0x54	0x309d	;ÅT Hiragana Iteration Mark
0x55	0x309e	;ÅU Hiragana Voiced Iteration Mark
0x56	0x3003	;ÅV Ditto Mark
0x57	0x4edd	;ÅW
0x58	0x3005	;ÅX Ideographic Iteration Mark
0x59	0x3006	;ÅY Ideographic Closing Mark
0x5a	0x3007	;ÅZ Ideographic Number Zero
0x5b	0x30fc	;Å[ Katakana-Hiragana Prolonged Sound Mark
0x5c	0x2015	;Å\ Quotation Dash
0x5d	0x2010	;Å] Hyphen
0x5e	0xff0f	;Å^ Fullwidth /
0x5f	0xff3c	;Å_ Fullwidth \
0x60	0xff5e	;Å` Fullwidth ~
0x61	0x2225	;Åa Parallel To
0x62	0xff5c	;Åb Fullwidth |
0x63	0x2026	;Åc Horizontal Ellipsis
0x64	0x2025	;Åd Two Dot Leader
0x65	0x2018	;Åe Single Turned Comma Quotation Mark
0x66	0x2019	;Åf Single Comma Quotation Mark
0x67	0x201c	;Åg Double Turned Comma Quotation Mark
0x68	0x201d	;Åh Double Comma Quotation Mark
0x69	0xff08	;Åi Fullwidth (
0x6a	0xff09	;Åj Fullwidth )
0x6b	0x3014	;Åk Opening Tortoise Shell Bracket
0x6c	0x3015	;Ål Closing Tortoise Shell Bracket
0x6d	0xff3b	;Åm Fullwidth [
0x6e	0xff3d	;Ån Fullwidth ]
0x6f	0xff5b	;Åo Fullwidth {
0x70	0xff5d	;Åp Fullwidth }
0x71	0x3008	;Åq Opening Angle Bracket
0x72	0x3009	;År Closing Angle Bracket
0x73	0x300a	;Ås Opening Double Angle Bracket
0x74	0x300b	;Åt Closing Double Angle Bracket
0x75	0x300c	;Åu Opening Corner Bracket
0x76	0x300d	;Åv Closing Corner Bracket
0x77	0x300e	;Åw Opening White Corner Bracket
0x78	0x300f	;Åx Closing White Corner Bracket
0x79	0x3010	;Åy Opening Black Lenticular Bracket
0x7a	0x3011	;Åz Closing Black Lenticular Bracket
0x7b	0xff0b	;Å{ Fullwidth +
0x7c	0xff0d	;Å| Fullwidth -
0x7d	0x00b1	;Å} Plus-Or-Minus Sign
0x7e	0x00d7	;Å~ Multiplication Sign
0x80	0x00f7	;ÅÄ Division Sign
0x81	0xff1d	;ÅÅ Fullwidth =
0x82	0x2260	;ÅÇ Not Equal To
0x83	0xff1c	;ÅÉ Fullwidth <
0x84	0xff1e	;ÅÑ Fullwidth >
0x85	0x2266	;ÅÖ Less Than Over Equal To
0x86	0x2267	;ÅÜ Greater Than Over Equal To
0x87	0x221e	;Åá Infinity
0x88	0x2234	;Åà Therefore
0x89	0x2642	;Åâ Male Sign
0x8a	0x2640	;Åä Female Sign
0x8b	0x00b0	;Åã Degree Sign
0x8c	0x2032	;Åå Prime
0x8d	0x2033	;Åç Double Prime
0x8e	0x2103	;Åé Degrees Centigrade
0x8f	0xffe5	;Åè Fullwidth Yen Sign
0x90	0xff04	;Åê Fullwidth $
0x91	0xffe0	;Åë Fullwidth Cent Sign
0x92	0xffe1	;Åí Fullwidth Pound Sign
0x93	0xff05	;Åì Fullwidth %
0x94	0xff03	;Åî Fullwidth #
0x95	0xff06	;Åï Fullwidth &
0x96	0xff0a	;Åñ Fullwidth *
0x97	0xff20	;Åó Fullwidth @
0x98	0x00a7	;Åò Section Sign
0x99	0x2606	;Åô White Star
0x9a	0x2605	;Åö Black Star
0x9b	0x25cb	;Åõ White Circle
0x9c	0x25cf	;Åú Black Circle
0x9d	0x25ce	;Åù Bullseye
0x9e	0x25c7	;Åû White Diamond
0x9f	0x25c6	;Åü Black Diamond
0xa0	0x25a1	;Å† White Square
0xa1	0x25a0	;Å° Black Square
0xa2	0x25b3	;Å¢ White Up Pointing Triangle
0xa3	0x25b2	;Å£ Black Up Pointing Triangle
0xa4	0x25bd	;Å§ White Down Pointing Triangle
0xa5	0x25bc	;Å• Black Down Pointing Triangle
0xa6	0x203b	;Å¶ Reference Mark
0xa7	0x3012	;Åß Postal Mark
0xa8	0x2192	;Å® Right Arrow
0xa9	0x2190	;Å© Left Arrow
0xaa	0x2191	;Å™ Up Arrow
0xab	0x2193	;Å´ Down Arrow
0xac	0x3013	;Å¨ Geta Mark
0xb8	0x2208	;Å∏ Element Of
0xb9	0x220b	;Åπ Contains As Member
0xba	0x2286	;Å∫ Subset Of Or Equal To
0xbb	0x2287	;Åª Superset Of Or Equal To
0xbc	0x2282	;Åº Subset Of
0xbd	0x2283	;ÅΩ Superset Of
0xbe	0x222a	;Åæ Union
0xbf	0x2229	;Åø Intersection
0xc8	0x2227	;Å» Logical And
0xc9	0x2228	;Å… Logical Or
0xca	0xffe2	;Å  Fullwidth Not Sign
0xcb	0x21d2	;ÅÀ Right Double Arrow
0xcc	0x21d4	;ÅÃ Left Right Double Arrow
0xcd	0x2200	;ÅÕ For All
0xce	0x2203	;ÅŒ There Exists
0xda	0x2220	;Å⁄ Angle
0xdb	0x22a5	;Å€ Up Tack
0xdc	0x2312	;Å‹ Arc
0xdd	0x2202	;Å› Partial Differential
0xde	0x2207	;Åﬁ Nabla
0xdf	0x2261	;Åﬂ Identical To
0xe0	0x2252	;Å‡ Approximately Equal To Or The Image Of
0xe1	0x226a	;Å· Much Less Than
0xe2	0x226b	;Å‚ Much Greater Than
0xe3	0x221a	;Å„ Square Root
0xe4	0x223d	;Å‰ Reversed Tilde
0xe5	0x221d	;ÅÂ Proportional To
0xe6	0x2235	;ÅÊ Because
0xe7	0x222b	;ÅÁ Integral
0xe8	0x222c	;ÅË Double Integral
0xf0	0x212b	;Å Angstrom Unit
0xf1	0x2030	;ÅÒ Per Mille Sign
0xf2	0x266f	;ÅÚ Sharp
0xf3	0x266d	;ÅÛ Flat
0xf4	0x266a	;ÅÙ Eighth Note
0xf5	0x2020	;Åı Dagger
0xf6	0x2021	;Åˆ Double Dagger
0xf7	0x00b6	;Å˜ Paragraph Sign
0xfc	0x25ef	;Å¸ Large Circle

DBCSTABLE 145           ;LeadByte = 0x82

0x4f	0xff10	;ÇO Fullwidth 0
0x50	0xff11	;ÇP Fullwidth 1
0x51	0xff12	;ÇQ Fullwidth 2
0x52	0xff13	;ÇR Fullwidth 3
0x53	0xff14	;ÇS Fullwidth 4
0x54	0xff15	;ÇT Fullwidth 5
0x55	0xff16	;ÇU Fullwidth 6
0x56	0xff17	;ÇV Fullwidth 7
0x57	0xff18	;ÇW Fullwidth 8
0x58	0xff19	;ÇX Fullwidth 9
0x60	0xff21	;Ç` Fullwidth A
0x61	0xff22	;Ça Fullwidth B
0x62	0xff23	;Çb Fullwidth C
0x63	0xff24	;Çc Fullwidth D
0x64	0xff25	;Çd Fullwidth E
0x65	0xff26	;Çe Fullwidth F
0x66	0xff27	;Çf Fullwidth G
0x67	0xff28	;Çg Fullwidth H
0x68	0xff29	;Çh Fullwidth I
0x69	0xff2a	;Çi Fullwidth J
0x6a	0xff2b	;Çj Fullwidth K
0x6b	0xff2c	;Çk Fullwidth L
0x6c	0xff2d	;Çl Fullwidth M
0x6d	0xff2e	;Çm Fullwidth N
0x6e	0xff2f	;Çn Fullwidth O
0x6f	0xff30	;Ço Fullwidth P
0x70	0xff31	;Çp Fullwidth Q
0x71	0xff32	;Çq Fullwidth R
0x72	0xff33	;Çr Fullwidth S
0x73	0xff34	;Çs Fullwidth T
0x74	0xff35	;Çt Fullwidth U
0x75	0xff36	;Çu Fullwidth V
0x76	0xff37	;Çv Fullwidth W
0x77	0xff38	;Çw Fullwidth X
0x78	0xff39	;Çx Fullwidth Y
0x79	0xff3a	;Çy Fullwidth Z
0x81	0xff41	;ÇÅ Fullwidth a
0x82	0xff42	;ÇÇ Fullwidth b
0x83	0xff43	;ÇÉ Fullwidth c
0x84	0xff44	;ÇÑ Fullwidth d
0x85	0xff45	;ÇÖ Fullwidth e
0x86	0xff46	;ÇÜ Fullwidth f
0x87	0xff47	;Çá Fullwidth g
0x88	0xff48	;Çà Fullwidth h
0x89	0xff49	;Çâ Fullwidth i
0x8a	0xff4a	;Çä Fullwidth j
0x8b	0xff4b	;Çã Fullwidth k
0x8c	0xff4c	;Çå Fullwidth l
0x8d	0xff4d	;Çç Fullwidth m
0x8e	0xff4e	;Çé Fullwidth n
0x8f	0xff4f	;Çè Fullwidth o
0x90	0xff50	;Çê Fullwidth p
0x91	0xff51	;Çë Fullwidth q
0x92	0xff52	;Çí Fullwidth r
0x93	0xff53	;Çì Fullwidth s
0x94	0xff54	;Çî Fullwidth t
0x95	0xff55	;Çï Fullwidth u
0x96	0xff56	;Çñ Fullwidth v
0x97	0xff57	;Çó Fullwidth w
0x98	0xff58	;Çò Fullwidth x
0x99	0xff59	;Çô Fullwidth y
0x9a	0xff5a	;Çö Fullwidth z
0x9f	0x3041	;Çü Hiragana Small A
0xa0	0x3042	;Ç† Hiragana A
0xa1	0x3043	;Ç° Hiragana Small I
0xa2	0x3044	;Ç¢ Hiragana I
0xa3	0x3045	;Ç£ Hiragana Small U
0xa4	0x3046	;Ç§ Hiragana U
0xa5	0x3047	;Ç• Hiragana Small E
0xa6	0x3048	;Ç¶ Hiragana E
0xa7	0x3049	;Çß Hiragana Small O
0xa8	0x304a	;Ç® Hiragana O
0xa9	0x304b	;Ç© Hiragana Ka
0xaa	0x304c	;Ç™ Hiragana Ga
0xab	0x304d	;Ç´ Hiragana Ki
0xac	0x304e	;Ç¨ Hiragana Gi
0xad	0x304f	;Ç≠ Hiragana Ku
0xae	0x3050	;ÇÆ Hiragana Gu
0xaf	0x3051	;ÇØ Hiragana Ke
0xb0	0x3052	;Ç∞ Hiragana Ge
0xb1	0x3053	;Ç± Hiragana Ko
0xb2	0x3054	;Ç≤ Hiragana Go
0xb3	0x3055	;Ç≥ Hiragana Sa
0xb4	0x3056	;Ç¥ Hiragana Za
0xb5	0x3057	;Çµ Hiragana Si
0xb6	0x3058	;Ç∂ Hiragana Zi
0xb7	0x3059	;Ç∑ Hiragana Su
0xb8	0x305a	;Ç∏ Hiragana Zu
0xb9	0x305b	;Çπ Hiragana Se
0xba	0x305c	;Ç∫ Hiragana Ze
0xbb	0x305d	;Çª Hiragana So
0xbc	0x305e	;Çº Hiragana Zo
0xbd	0x305f	;ÇΩ Hiragana Ta
0xbe	0x3060	;Çæ Hiragana Da
0xbf	0x3061	;Çø Hiragana Ti
0xc0	0x3062	;Ç¿ Hiragana Di
0xc1	0x3063	;Ç¡ Hiragana Small Tu
0xc2	0x3064	;Ç¬ Hiragana Tu
0xc3	0x3065	;Ç√ Hiragana Du
0xc4	0x3066	;Çƒ Hiragana Te
0xc5	0x3067	;Ç≈ Hiragana De
0xc6	0x3068	;Ç∆ Hiragana To
0xc7	0x3069	;Ç« Hiragana Do
0xc8	0x306a	;Ç» Hiragana Na
0xc9	0x306b	;Ç… Hiragana Ni
0xca	0x306c	;Ç  Hiragana Nu
0xcb	0x306d	;ÇÀ Hiragana Ne
0xcc	0x306e	;ÇÃ Hiragana No
0xcd	0x306f	;ÇÕ Hiragana Ha
0xce	0x3070	;ÇŒ Hiragana Ba
0xcf	0x3071	;Çœ Hiragana Pa
0xd0	0x3072	;Ç– Hiragana Hi
0xd1	0x3073	;Ç— Hiragana Bi
0xd2	0x3074	;Ç“ Hiragana Pi
0xd3	0x3075	;Ç” Hiragana Hu
0xd4	0x3076	;Ç‘ Hiragana Bu
0xd5	0x3077	;Ç’ Hiragana Pu
0xd6	0x3078	;Ç÷ Hiragana He
0xd7	0x3079	;Ç◊ Hiragana Be
0xd8	0x307a	;Çÿ Hiragana Pe
0xd9	0x307b	;ÇŸ Hiragana Ho
0xda	0x307c	;Ç⁄ Hiragana Bo
0xdb	0x307d	;Ç€ Hiragana Po
0xdc	0x307e	;Ç‹ Hiragana Ma
0xdd	0x307f	;Ç› Hiragana Mi
0xde	0x3080	;Çﬁ Hiragana Mu
0xdf	0x3081	;Çﬂ Hiragana Me
0xe0	0x3082	;Ç‡ Hiragana Mo
0xe1	0x3083	;Ç· Hiragana Small Ya
0xe2	0x3084	;Ç‚ Hiragana Ya
0xe3	0x3085	;Ç„ Hiragana Small Yu
0xe4	0x3086	;Ç‰ Hiragana Yu
0xe5	0x3087	;ÇÂ Hiragana Small Yo
0xe6	0x3088	;ÇÊ Hiragana Yo
0xe7	0x3089	;ÇÁ Hiragana Ra
0xe8	0x308a	;ÇË Hiragana Ri
0xe9	0x308b	;ÇÈ Hiragana Ru
0xea	0x308c	;ÇÍ Hiragana Re
0xeb	0x308d	;ÇÎ Hiragana Ro
0xec	0x308e	;ÇÏ Hiragana Small Wa
0xed	0x308f	;ÇÌ Hiragana Wa
0xee	0x3090	;ÇÓ Hiragana Wi
0xef	0x3091	;ÇÔ Hiragana We
0xf0	0x3092	;Ç Hiragana Wo
0xf1	0x3093	;ÇÒ Hiragana N

DBCSTABLE 134           ;LeadByte = 0x83

0x40	0x30a1	;É@ Katakana Small A
0x41	0x30a2	;ÉA Katakana A
0x42	0x30a3	;ÉB Katakana Small I
0x43	0x30a4	;ÉC Katakana I
0x44	0x30a5	;ÉD Katakana Small U
0x45	0x30a6	;ÉE Katakana U
0x46	0x30a7	;ÉF Katakana Small E
0x47	0x30a8	;ÉG Katakana E
0x48	0x30a9	;ÉH Katakana Small O
0x49	0x30aa	;ÉI Katakana O
0x4a	0x30ab	;ÉJ Katakana Ka
0x4b	0x30ac	;ÉK Katakana Ga
0x4c	0x30ad	;ÉL Katakana Ki
0x4d	0x30ae	;ÉM Katakana Gi
0x4e	0x30af	;ÉN Katakana Ku
0x4f	0x30b0	;ÉO Katakana Gu
0x50	0x30b1	;ÉP Katakana Ke
0x51	0x30b2	;ÉQ Katakana Ge
0x52	0x30b3	;ÉR Katakana Ko
0x53	0x30b4	;ÉS Katakana Go
0x54	0x30b5	;ÉT Katakana Sa
0x55	0x30b6	;ÉU Katakana Za
0x56	0x30b7	;ÉV Katakana Si
0x57	0x30b8	;ÉW Katakana Zi
0x58	0x30b9	;ÉX Katakana Su
0x59	0x30ba	;ÉY Katakana Zu
0x5a	0x30bb	;ÉZ Katakana Se
0x5b	0x30bc	;É[ Katakana Ze
0x5c	0x30bd	;É\ Katakana So
0x5d	0x30be	;É] Katakana Zo
0x5e	0x30bf	;É^ Katakana Ta
0x5f	0x30c0	;É_ Katakana Da
0x60	0x30c1	;É` Katakana Ti
0x61	0x30c2	;Éa Katakana Di
0x62	0x30c3	;Éb Katakana Small Tu
0x63	0x30c4	;Éc Katakana Tu
0x64	0x30c5	;Éd Katakana Du
0x65	0x30c6	;Ée Katakana Te
0x66	0x30c7	;Éf Katakana De
0x67	0x30c8	;Ég Katakana To
0x68	0x30c9	;Éh Katakana Do
0x69	0x30ca	;Éi Katakana Na
0x6a	0x30cb	;Éj Katakana Ni
0x6b	0x30cc	;Ék Katakana Nu
0x6c	0x30cd	;Él Katakana Ne
0x6d	0x30ce	;Ém Katakana No
0x6e	0x30cf	;Én Katakana Ha
0x6f	0x30d0	;Éo Katakana Ba
0x70	0x30d1	;Ép Katakana Pa
0x71	0x30d2	;Éq Katakana Hi
0x72	0x30d3	;Ér Katakana Bi
0x73	0x30d4	;És Katakana Pi
0x74	0x30d5	;Ét Katakana Hu
0x75	0x30d6	;Éu Katakana Bu
0x76	0x30d7	;Év Katakana Pu
0x77	0x30d8	;Éw Katakana He
0x78	0x30d9	;Éx Katakana Be
0x79	0x30da	;Éy Katakana Pe
0x7a	0x30db	;Éz Katakana Ho
0x7b	0x30dc	;É{ Katakana Bo
0x7c	0x30dd	;É| Katakana Po
0x7d	0x30de	;É} Katakana Ma
0x7e	0x30df	;É~ Katakana Mi
0x80	0x30e0	;ÉÄ Katakana Mu
0x81	0x30e1	;ÉÅ Katakana Me
0x82	0x30e2	;ÉÇ Katakana Mo
0x83	0x30e3	;ÉÉ Katakana Small Ya
0x84	0x30e4	;ÉÑ Katakana Ya
0x85	0x30e5	;ÉÖ Katakana Small Yu
0x86	0x30e6	;ÉÜ Katakana Yu
0x87	0x30e7	;Éá Katakana Small Yo
0x88	0x30e8	;Éà Katakana Yo
0x89	0x30e9	;Éâ Katakana Ra
0x8a	0x30ea	;Éä Katakana Ri
0x8b	0x30eb	;Éã Katakana Ru
0x8c	0x30ec	;Éå Katakana Re
0x8d	0x30ed	;Éç Katakana Ro
0x8e	0x30ee	;Éé Katakana Small Wa
0x8f	0x30ef	;Éè Katakana Wa
0x90	0x30f0	;Éê Katakana Wi
0x91	0x30f1	;Éë Katakana We
0x92	0x30f2	;Éí Katakana Wo
0x93	0x30f3	;Éì Katakana N
0x94	0x30f4	;Éî Katakana Vu
0x95	0x30f5	;Éï Katakana Small Ka
0x96	0x30f6	;Éñ Katakana Small Ke
0x9f	0x0391	;Éü Greek Capital Alpha
0xa0	0x0392	;É† Greek Capital Beta
0xa1	0x0393	;É° Greek Capital Gamma
0xa2	0x0394	;É¢ Greek Capital Delta
0xa3	0x0395	;É£ Greek Capital Epsilon
0xa4	0x0396	;É§ Greek Capital Zeta
0xa5	0x0397	;É• Greek Capital Eta
0xa6	0x0398	;É¶ Greek Capital Theta
0xa7	0x0399	;Éß Greek Capital Iota
0xa8	0x039a	;É® Greek Capital Kappa
0xa9	0x039b	;É© Greek Capital Lambda
0xaa	0x039c	;É™ Greek Capital Mu
0xab	0x039d	;É´ Greek Capital Nu
0xac	0x039e	;É¨ Greek Capital Xi
0xad	0x039f	;É≠ Greek Capital Omicron
0xae	0x03a0	;ÉÆ Greek Capital Pi
0xaf	0x03a1	;ÉØ Greek Capital Rho
0xb0	0x03a3	;É∞ Greek Capital Sigma
0xb1	0x03a4	;É± Greek Capital Tau
0xb2	0x03a5	;É≤ Greek Capital Upsilon
0xb3	0x03a6	;É≥ Greek Capital Phi
0xb4	0x03a7	;É¥ Greek Capital Chi
0xb5	0x03a8	;Éµ Greek Capital Psi
0xb6	0x03a9	;É∂ Greek Capital Omega
0xbf	0x03b1	;Éø Greek Small Alpha
0xc0	0x03b2	;É¿ Greek Small Beta
0xc1	0x03b3	;É¡ Greek Small Gamma
0xc2	0x03b4	;É¬ Greek Small Delta
0xc3	0x03b5	;É√ Greek Small Epsilon
0xc4	0x03b6	;Éƒ Greek Small Zeta
0xc5	0x03b7	;É≈ Greek Small Eta
0xc6	0x03b8	;É∆ Greek Small Theta
0xc7	0x03b9	;É« Greek Small Iota
0xc8	0x03ba	;É» Greek Small Kappa
0xc9	0x03bb	;É… Greek Small Lambda
0xca	0x03bc	;É  Greek Small Mu
0xcb	0x03bd	;ÉÀ Greek Small Nu
0xcc	0x03be	;ÉÃ Greek Small Xi
0xcd	0x03bf	;ÉÕ Greek Small Omicron
0xce	0x03c0	;ÉŒ Greek Small Pi
0xcf	0x03c1	;Éœ Greek Small Rho
0xd0	0x03c3	;É– Greek Small Sigma
0xd1	0x03c4	;É— Greek Small Tau
0xd2	0x03c5	;É“ Greek Small Upsilon
0xd3	0x03c6	;É” Greek Small Phi
0xd4	0x03c7	;É‘ Greek Small Chi
0xd5	0x03c8	;É’ Greek Small Psi
0xd6	0x03c9	;É÷ Greek Small Omega

DBCSTABLE 98            ;LeadByte = 0x84

0x40	0x0410	;Ñ@ Cyrillic Capital A
