#
#          Name:             XCCS (XC-3-1-1-0) to Unicode
#          Unicode version:  3.0
#          XCCS charset:     62 JIS
#          Table version:    0.1
#          Table format:     Format A
#          Date:             9-Aug-2021
#          Author:           Ron Kaplan <Ron.Kaplan@post.harvard.edu>
#
#  This file contains mappings from the Xerox Character Code Standard (version
#  XC1-3-3-0, 1987) into Unicode 3.0. standard codes.  That is the version of
#  XCCS corresponding to the fonts in the Medley system.
#
#  The format of this file conforms to the format of the other Unicode-supplied
#  mapping files:
#    Three white-space (tab or spaces) separated columns:
#       Column 1 is the XCCS code (as hex 0xXXXX)
#       Column 2 is the corresponding Unicode (as hex 0xXXXX)
#       Column 3 (after #) is a comment column. For convenience, it contains the
#          Unicode character itself (since the Unicode character names
#          are not available)
#  Unicode FFFF is used for undefined XCCS codes (Column 3 = UNDEFINED
#  Unicode FFFE is used for XCCS codes that have not yet been filled in.
#  (Column 3 = MISSING)
#
#  This file is encoded in UTF8, so that the Unicode characters
#  are properly displayed in Column 3 and can be edited by standard
#  Unicode-enabled editors (e.g. Mac Textedit).
#
#  This file can also be read by the function
#  READ-UNICODE-MAPPING in the UNICODE Medley library package.
#
#  The entries are in XCCS order and grouped by character sets.  In front of
#  the mappings, for convenience, there is a line with the octal XCCS
#  character set, after #.
#
#  Note that a given XCCS code might map to codes in several different Unicode
#  positions, since there are repetitions in the Unicode standard.
#
#  For more details, see the associated README.TXT file.
#
#  Any comments or problems, contact <ron.kaplan@post.harvard.edu>


#   "62" JIS
0x3221	0x62BC	#  押 UNKNOWN
0x3222	0x65FA	#  旺 UNKNOWN
0x3223	0x6A2A	#  横 UNKNOWN
0x3224	0x6B27	#  欧 UNKNOWN
0x3225	0x6BB4	#  殴 UNKNOWN
0x3226	0x738B	#  王 UNKNOWN
0x3227	0x7FC1	#  翁 UNKNOWN
0x3228	0x8956	#  襖 UNKNOWN
0x3229	0x9D2C	#  鴬 UNKNOWN
0x322A	0x9D0E	#  鴎 UNKNOWN
0x322B	0x9EC4	#  黄 UNKNOWN
0x322C	0x5CA1	#  岡 UNKNOWN
0x322D	0x6C96	#  沖 UNKNOWN
0x322E	0x837B	#  荻 UNKNOWN
0x322F	0x5104	#  億 UNKNOWN
0x3230	0x5C4B	#  屋 UNKNOWN
0x3231	0x61B6	#  憶 UNKNOWN
0x3232	0x81C6	#  臆 UNKNOWN
0x3233	0x6876	#  桶 UNKNOWN
0x3234	0x7261	#  牡 UNKNOWN
0x3235	0x4E59	#  乙 UNKNOWN
0x3236	0x4FFA	#  俺 UNKNOWN
0x3237	0x5378	#  卸 UNKNOWN
0x3238	0x6069	#  恩 UNKNOWN
0x3239	0x6E29	#  温 UNKNOWN
0x323A	0x7A4F	#  穏 UNKNOWN
0x323B	0x97F3	#  音 UNKNOWN
0x323C	0x4E0B	#  下 UNKNOWN
0x323D	0x5316	#  化 UNKNOWN
0x323E	0x4EEE	#  仮 UNKNOWN
0x323F	0x4F55	#  何 UNKNOWN
0x3240	0x4F3D	#  伽 UNKNOWN
0x3241	0x4FA1	#  価 UNKNOWN
